StudentID,StudentName,节点1收益,节点2收益,节点3收益,总收益,20好感礼物数,40好感礼物数,60好感礼物数,120好感礼物数,180好感礼物数,240好感礼物数,节点1推荐顺序,节点2推荐顺序,节点3推荐顺序
10025,瞬（小）,20.3459,18.7176,57.9706,97.0340,1.8086,0.2354,0.0593,0.2207,0.0184,0.0000,花->光芒,水仙花->花->紫薇花->其它花,花->灿烂->闪亮
13012,桐乃,19.8009,18.7075,58.3198,96.8282,1.9698,0.0591,0.0744,0.2207,0.0000,0.0184,花->光芒,木莲花->水仙花->花->其它花,花->灿烂->闪亮
20006,纱绫（便服）,20.1642,18.6706,58.8228,97.6577,1.8537,0.1917,0.0579,0.2207,0.0000,0.0184,花->光芒,桔梗花->紫薇花->水仙花->蒲公英,花->灿烂->闪亮
10026,妮露（邦妮）,19.9825,18.5878,58.5713,97.1416,1.9179,0.1213,0.0642,0.2207,0.0000,0.0184,花->光芒,玫瑰->牵牛花->郁金香->花,花->灿烂->闪亮
10027,花凛（邦妮）,19.6192,18.0662,58.0683,95.7537,2.0450,0.0000,0.0583,0.2207,0.0000,0.0184,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
10028,明日奈（邦妮）,20.1642,18.5768,59.9265,98.6675,1.8660,0.1780,0.0593,0.2024,0.0184,0.0184,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
10029,夏,20.3459,18.7258,57.9706,97.0422,1.8074,0.2368,0.0591,0.2207,0.0184,0.0000,花->光芒,水仙花->蒲公英->花->其它花,花->灿烂->闪亮
23008,玛丽,19.8009,18.8572,57.2160,95.8742,1.9548,0.0741,0.0744,0.2207,0.0184,0.0000,花->光芒,木莲花->桔梗花->花->其它花,花->灿烂->闪亮
20007,初音未来,19.0742,17.6167,55.1063,91.7972,2.1033,0.0000,0.0000,0.2391,0.0000,0.0000,花->光芒,花->其它花->光芒,花->灿烂->闪亮
20008,亚子,20.5275,19.3154,58.2221,98.0651,1.7357,0.2932,0.0744,0.2207,0.0184,0.0000,花->光芒,杜鹃花->蒲公英->花->郁金香,花->灿烂->闪亮
20009,切里诺（温泉）,20.1642,18.6996,58.8228,97.6866,1.8533,0.1910,0.0591,0.2207,0.0000,0.0184,花->光芒,蒲公英->桔梗花->紫薇花->花,花->灿烂->闪亮
10030,千夏（温泉）,21.6175,19.7005,60.8349,102.1529,1.5218,0.4649,0.1167,0.2024,0.0368,0.0000,花->光芒,蒲公英->郁金香->花->其它花,花->灿烂->闪亮
16007,巴,19.9825,18.4930,58.5713,97.0468,1.9140,0.1319,0.0575,0.2207,0.0000,0.0184,花->光芒,木莲花->郁金香->花->其它花,花->灿烂->闪亮
20010,和香（温泉）,20.7092,19.2258,59.5774,99.5123,1.6811,0.3580,0.0643,0.2024,0.0368,0.0000,花->光芒,百合花->水仙花->花->紫薇花,花->灿烂->闪亮
10031,爱露（新年）,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
10032,睦月（新年）,20.7092,19.1117,58.4736,98.2946,1.6803,0.3648,0.0582,0.2207,0.0184,0.0000,花->光芒,紫薇花->桔梗花->花->蒲公英,花->灿烂->闪亮
20011,芹香（新年）,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
10033,若藻,19.6192,18.0662,58.0683,95.7537,2.0450,0.0000,0.0583,0.2207,0.0000,0.0184,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
16008,吹雪,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
20012,濑名,20.1642,18.8963,59.9265,98.9871,1.8440,0.1951,0.0643,0.2024,0.0184,0.0184,花->光芒,牡丹->杜鹃花->花->郁金香,花->灿烂->闪亮
20013,千寻,19.9825,18.6127,57.4676,96.0628,1.9157,0.1234,0.0643,0.2207,0.0184,0.0000,花->光芒,玫瑰->蒲公英->花->其它花,花->灿烂->闪亮
10034,三森,20.1642,19.4727,58.8228,98.4597,1.9548,0.0000,0.1485,0.2024,0.0368,0.0000,花->光芒,金盏花->木莲花->花->其它花,花->灿烂->闪亮
10035,忧,20.8908,19.0479,60.9326,100.8714,1.7575,0.2305,0.1153,0.2024,0.0184,0.0184,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
10036,日向,19.8009,18.8572,59.4235,98.0816,1.9548,0.0741,0.0744,0.2024,0.0184,0.0184,花->光芒,桔梗花->木莲花->花->其它花,花->灿烂->闪亮
10037,真里奈,20.3459,18.6958,57.9706,97.0123,1.8084,0.2368,0.0581,0.2207,0.0184,0.0000,花->光芒,蒲公英->紫薇花->花->其它花,花->灿烂->闪亮
10038,宫子,19.9825,18.3680,58.5713,96.9218,1.9264,0.1196,0.0574,0.2207,0.0000,0.0184,花->光芒,郁金香->樱花->水仙花->花,花->灿烂->闪亮
20014,咲,20.8908,19.3472,58.7251,98.9632,1.6182,0.4246,0.0606,0.2207,0.0184,0.0000,花->光芒,蒲公英->杜鹃花->樱花->花,花->灿烂->闪亮
10039,美游,19.9825,18.8752,58.5713,97.4291,1.9094,0.1196,0.0743,0.2207,0.0000,0.0184,花->光芒,木莲花->樱花->水仙花->花,花->灿烂->闪亮
20015,枫,21.2542,19.6252,59.2282,100.1076,1.4985,0.5469,0.0579,0.2207,0.0184,0.0000,花->光芒,紫薇花->桔梗花->牵牛花->玫瑰,花->灿烂->闪亮
20016,伊吕波,20.8908,19.1540,58.7251,98.7700,1.6312,0.4148,0.0574,0.2207,0.0184,0.0000,花->光芒,郁金香->牵牛花->玫瑰->花,花->灿烂->闪亮
16009,满,20.1642,18.5768,57.7191,96.4601,1.8660,0.1780,0.0593,0.2207,0.0184,0.0000,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
10040,月咏,19.9825,18.8488,57.4676,96.2989,1.9121,0.1169,0.0743,0.2207,0.0184,0.0000,花->光芒,桔梗花->蒲公英->紫薇花->花,花->灿烂->闪亮
10041,美咲,19.6192,18.0662,58.0683,95.7537,2.0450,0.0000,0.0583,0.2207,0.0000,0.0184,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
20017,日和,19.6192,18.5533,56.9645,95.1370,2.0288,0.0000,0.0745,0.2207,0.0184,0.0000,花->光芒,金盏花->花->其它花->光芒,花->灿烂->闪亮
10042,亚津子,19.8009,18.3516,58.3198,96.4723,1.9715,0.0744,0.0575,0.2207,0.0000,0.0184,花->光芒,杜鹃花->郁金香->花->其它花,花->灿烂->闪亮
10043,若藻（泳装）,20.1642,18.9936,58.8228,97.9806,1.9708,0.0000,0.1325,0.2207,0.0000,0.0184,花->光芒,翡翠花->紫薇花->花->其它花,花->灿烂->闪亮
10044,野宫（泳装）,20.5275,19.4227,58.2221,98.1723,1.8466,0.1216,0.1352,0.2207,0.0184,0.0000,花->光芒,翡翠花->樱花->花->其它花,花->灿烂->闪亮
26007,绫音（泳装）,21.0725,19.6806,61.1841,101.9372,1.6842,0.2873,0.1319,0.2024,0.0184,0.0184,花->光芒,翡翠花->郁金香->花->其它花,花->灿烂->闪亮
10045,星野（泳装）,20.1642,19.0235,61.0303,100.2180,1.9698,0.0000,0.1335,0.2024,0.0000,0.0368,花->光芒,翡翠花->蒲公英->花->其它花,花->灿烂->闪亮
26008,静子（泳装）,20.1642,19.4727,57.7191,97.3560,1.9548,0.0000,0.1485,0.2207,0.0184,0.0000,花->光芒,杜鹃花->翡翠花->花->其它花,花->灿烂->闪亮
10046,泉奈（泳装）,20.1642,19.4727,57.7191,97.3560,1.9548,0.0000,0.1485,0.2207,0.0184,0.0000,花->光芒,木莲花->翡翠花->花->其它花,花->灿烂->闪亮
10047,千世（泳装）,21.0725,19.6806,58.9767,99.7298,1.6842,0.2873,0.1319,0.2207,0.0184,0.0000,花->光芒,翡翠花->郁金香->花->其它花,花->灿烂->闪亮
10048,纱织,20.3459,18.8551,57.9706,97.1716,1.9203,0.0610,0.1220,0.2207,0.0184,0.0000,花->光芒,樱花->花->其它花->光芒,花->灿烂->闪亮
20018,萌绘,20.1642,18.7792,57.7191,96.6625,1.8554,0.1837,0.0642,0.2207,0.0184,0.0000,花->光芒,玫瑰->樱花->水仙花->花,花->灿烂->闪亮
10049,和纱,20.3459,18.7440,57.9706,97.0605,1.8057,0.2384,0.0592,0.2207,0.0184,0.0000,花->光芒,水仙花->樱花->花->其它花,花->灿烂->闪亮
10050,心奈,20.1642,18.5768,58.8228,97.5638,1.8660,0.1780,0.0593,0.2207,0.0000,0.0184,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
10051,歌原（应援团）,19.9825,18.4796,58.5713,97.0335,1.9167,0.1285,0.0581,0.2207,0.0000,0.0184,花->光芒,玫瑰->紫薇花->花->其它花,花->灿烂->闪亮
10052,诺亚,20.5275,18.7617,58.2221,97.5113,1.7575,0.2882,0.0576,0.2207,0.0184,0.0000,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
16010,响（应援团）,20.1642,18.9123,59.9265,99.0031,1.8421,0.1970,0.0642,0.2024,0.0184,0.0184,花->光芒,玫瑰->金盏花->蒲公英->花,花->灿烂->闪亮
20019,茜（邦妮）,19.6192,18.5533,58.0683,96.2408,2.0288,0.0000,0.0745,0.2207,0.0000,0.0184,花->光芒,金盏花->花->其它花->光芒,花->灿烂->闪亮
10053,优香（体操服）,19.6192,18.0662,55.8608,93.5462,2.0450,0.0000,0.0583,0.2391,0.0000,0.0000,花->光芒,紫薇花->花->其它花->光芒,花->灿烂->闪亮
10054,玛丽（体操服）,19.8009,18.8572,59.4235,98.0816,1.9548,0.0741,0.0744,0.2024,0.0184,0.0184,花->光芒,木莲花->桔梗花->花->其它花,花->灿烂->闪亮
16011,莲见（体操服）,20.3459,18.7773,59.0743,98.1975,1.8024,0.2417,0.0592,0.2207,0.0000,0.0184,花->光芒,水仙花->百合花->花->其它花,花->灿烂->闪亮
20020,日鞠,20.1642,18.5768,58.8228,97.5638,1.8660,0.1780,0.0593,0.2207,0.0000,0.0184,花->光芒,蒲公英->花->其它花->光芒,花->灿烂->闪亮
10055,时雨,19.8009,18.6909,58.3198,96.8116,1.9715,0.0575,0.0744,0.2207,0.0000,0.0184,花->光芒,杜鹃花->郁金香->花->其它花,花->灿烂->闪亮
10056,芹娜（圣诞）,19.9825,18.7624,59.6750,98.4200,1.9007,0.1384,0.0643,0.2024,0.0184,0.0184,花->光芒,牡丹->杜鹃花->花->其它花,花->灿烂->闪亮
20021,花江（圣诞）,19.9825,18.7624,59.6750,98.4200,1.9007,0.1384,0.0643,0.2024,0.0184,0.0184,花->光芒,牵牛花->杜鹃花->花->其它花,花->灿烂->闪亮
10057,晴奈（新年）,20.1642,19.0235,58.8228,98.0106,1.9698,0.0000,0.1335,0.2207,0.0000,0.0184,花->光芒,木莲花->水仙花->花->其它花,花->灿烂->闪亮
20022,风香（新年）,20.1642,19.4727,59.9265,99.5635,1.9548,0.0000,0.1485,0.2024,0.0184,0.0184,花->光芒,金盏花->杜鹃花->花->其它花,花->灿烂->闪亮
16012,纯子（新年）,20.1642,18.5768,58.8228,97.5638,1.8660,0.1780,0.0593,0.2207,0.0000,0.0184,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
10058,美祢,19.9825,18.5012,58.5713,97.0551,1.9203,0.1220,0.0610,0.2207,0.0000,0.0184,花->光芒,樱花->花->其它花->光芒,花->灿烂->闪亮
10059,未花,20.7092,19.1271,60.6811,100.5174,1.6842,0.3583,0.0609,0.2024,0.0184,0.0184,花->光芒,樱花->水仙花->花->其它花,花->灿烂->闪亮
10060,惠,20.7092,19.1117,59.5774,99.3983,1.6803,0.3648,0.0582,0.2207,0.0000,0.0184,花->光芒,紫薇花->桔梗花->花->蒲公英,花->灿烂->闪亮
20023,康娜,19.8009,18.6909,58.3198,96.8116,1.9715,0.0575,0.0744,0.2207,0.0000,0.0184,花->光芒,杜鹃花->郁金香->花->其它花,花->灿烂->闪亮
10061,樱子,20.1642,18.5768,58.8228,97.5638,1.8660,0.1780,0.0593,0.2207,0.0000,0.0184,花->光芒,水仙花->花->其它花->光芒,花->灿烂->闪亮
10062,时,20.1642,18.8963,58.8228,97.8833,1.8440,0.1951,0.0643,0.2207,0.0000,0.0184,花->光芒,牵牛花->杜鹃花->花->郁金香,花->灿烂->闪亮
20024,渚,20.3459,18.7274,59.0743,98.1476,1.8074,0.2367,0.0592,0.2207,0.0000,0.0184,花->光芒,蒲公英->水仙花->花->其它花,花->灿烂->闪亮
10063,小雪,20.8908,19.1313,59.8289,99.8510,1.7533,0.2327,0.1173,0.2207,0.0000,0.0184,花->光芒,紫薇花->蒲公英->花->其它花,花->灿烂->闪亮
10064,佳代子（新年）,20.5275,19.5287,61.5333,101.5896,1.8421,0.1229,0.1383,0.1840,0.0368,0.0184,花->光芒,木莲花->玫瑰->蒲公英->花,花->灿烂->闪亮
20025,春香（新年）,19.9825,18.8488,58.5713,97.4027,1.9121,0.1169,0.0743,0.2207,0.0000,0.0184,花->光芒,桔梗花->蒲公英->紫薇花->花,花->灿烂->闪亮
10065,果穗,20.5275,18.7617,59.3258,98.6150,1.7575,0.2882,0.0576,0.2207,0.0000,0.0184,花->光芒,郁金香->花->其它花->光芒,花->灿烂->闪亮
10066,爱丽丝（女仆）,21.4358,19.7490,62.7909,103.9757,1.5567,0.4318,0.1149,0.2024,0.0000,0.0368,花->光芒,紫薇花->木莲花->郁金香->牵牛花,花->灿烂->闪亮
10067,时（邦妮）,20.1642,18.8963,61.0303,100.0908,1.8440,0.1951,0.0643,0.2024,0.0000,0.0368,花->光芒,牵牛花->杜鹃花->花->郁金香,花->灿烂->闪亮
26009,柚子（女仆）,20.1642,18.7965,58.8228,97.7835,1.8540,0.1851,0.0643,0.2207,0.0000,0.0184,花->光芒,玫瑰->牵牛花->花->郁金香,花->灿烂->闪亮
10068,玲纱,20.7092,19.2335,60.6811,100.6238,1.6803,0.3587,0.0643,0.2024,0.0184,0.0184,花->光芒,玫瑰->水仙花->花->蒲公英,花->灿烂->闪亮
10069,瑠海,20.1642,19.4727,58.8228,98.4597,1.9548,0.0000,0.1485,0.2207,0.0000,0.0184,花->光芒,金盏花->木莲花->花->其它花,花->灿烂->闪亮
10070,南,20.8908,19.3339,59.8289,100.0536,1.7352,0.2497,0.1184,0.2207,0.0000,0.0184,花->光芒,蒲公英->桔梗花->花->紫薇花,花->灿烂->闪亮
20026,实梨,21.0725,19.3435,61.1841,101.6001,1.6842,0.3041,0.1150,0.2024,0.0184,0.0184,花->光芒,郁金香->杜鹃花->花->其它花,花->灿烂->闪亮
10071,宫子（泳装）,20.5275,19.2844,59.3258,99.1378,1.8528,0.1192,0.1314,0.2207,0.0000,0.0184,花->光芒,翡翠花->郁金香->樱花->水仙花,花->灿烂->闪亮
10072,咲（泳装）,21.4358,20.2504,61.6872,103.3734,1.5458,0.4230,0.1345,0.2024,0.0184,0.0184,花->光芒,翡翠花->蒲公英->杜鹃花->樱花,花->灿烂->闪亮
26010,美游（泳装）,20.5275,19.7834,59.3258,99.6368,1.8361,0.1192,0.1480,0.2207,0.0000,0.0184,花->光芒,木莲花->翡翠花->樱花->水仙花,花->灿烂->闪亮
20027,白子（泳装）,20.3459,19.3812,59.0743,98.8014,1.9007,0.0641,0.1385,0.2207,0.0000,0.0184,花->光芒,翡翠花->牵牛花->花->其它花,花->灿烂->闪亮
